SKU,Nombre,"Precio normal",Categorías
AC1,"Acrílicos 50cc","2312,835","Artística, Artística > Pinturas"
PT1,"Pintura a la tiza","6551,16","Artística, Artística > Pinturas"
PT9,"Pintura a la tiza 900cc EQ","23717,505","Artística, Artística > Pinturas"
D3D,"Dimensional 3D EQ","3630,165","Artística, Artística > Pinturas"
BDI125,"Barniz al agua EQ","5696,67","Artística, Artística > Pinturas"
LB1,"Laca al agua 375cc EQ","11920,86","Artística, Artística > Pinturas"
PP1,"Pintura pizarron EQ","6635,79","Artística, Artística > Pinturas"
BALAN,"Balancín 90x52x50h","76484,205","TODO PARA INFANTILES > Juegos didácticos, TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
BIM,"Biblioteca montessori triple 50x37x60h","41394,78","TODO PARA INFANTILES > Juegos didácticos, TODO PARA INFANTILES"
CACH,"Camion organizador de autitos","33647,67","TODO PARA INFANTILES > Juegos didácticos, TODO PARA INFANTILES"
CB,"Cuna para bebes","17614,17","TODO PARA INFANTILES > Juegos didácticos, TODO PARA INFANTILES"
"DINO REX","Dinorex puzzle 3D","56458,5","TODO PARA INFANTILES > Juegos didácticos, TODO PARA INFANTILES"
MATE,"Mate y pava para niños","13838,58","TODO PARA INFANTILES > Juegos didácticos, TODO PARA INFANTILES"
EQ,"Muñecos equilibristas","977,55","TODO PARA INFANTILES > Juegos didácticos, TODO PARA INFANTILES"
ROMPEC,"Rompecabezas  leon y huevo de dinosaurio","5987,52","TODO PARA INFANTILES > Juegos didácticos, TODO PARA INFANTILES"
CHANGO,"Carrito super mercado","44626,68","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
VAG,"Trencito y vagones encastrables","2732,1","TODO PARA INFANTILES > Juegos didácticos, TODO PARA INFANTILES"
MB25,"Baño y ducha para muñecas",0,"TODO PARA INFANTILES > Casas para muñecas, TODO PARA INFANTILES"
MB30,"Vanitory para muñecas",0,"TODO PARA INFANTILES > Casas para muñecas, TODO PARA INFANTILES"
MB1,"Mesa de computación para muñecas.","7350,315","TODO PARA INFANTILES > Casas para muñecas, TODO PARA INFANTILES"
MB31,"Living para muñecas",0,"TODO PARA INFANTILES > Casas para muñecas, TODO PARA INFANTILES"
MB15,"Mesita de luz para muñecas",0,"TODO PARA INFANTILES > Casas para muñecas, TODO PARA INFANTILES"
MB29,"Armario para muñecas",0,"TODO PARA INFANTILES > Casas para muñecas, TODO PARA INFANTILES"
BARBYA,"Casa para muñecas c/ 3 pisos y ascensor 90x30x110h","122248,35","TODO PARA INFANTILES > Casas para muñecas, TODO PARA INFANTILES"
MB23,"Casa para muñecas repisa c/ 3 pisos",0,"TODO PARA INFANTILES > Casas para muñecas, TODO PARA INFANTILES"
MPVM,"Estantería melamina y pino con vidrio 30x40x120h","192767,61","Muebles > Estanterías, Muebles"
ENMP,"Escritorio nórdico c/ dos cajones 120x40x77h","203627,865","Muebles > Escritorios y tocadores, Muebles"
ENMF,"Escritorio melamina y Fibro fácil","147321,93","Muebles > Escritorios y tocadores, Muebles"
MR4080,"Mesa ratona recta 80cm x 40cm x 45cm (h)","64072,1235","Muebles > Mesas ratonas, Muebles"
MRG,"Mesa ratona en gota 90cm x 60cm x 45cm (alto)","71245,44","Muebles > Mesas ratonas, Muebles"
MR,"Mesa ratona triangular 80cm x 80cm x 45cm (alto)",,"Muebles > Mesas ratonas, Muebles"
MB19G,"Cocina para barbie completa",0,"TODO PARA INFANTILES > Casas para muñecas, TODO PARA INFANTILES"
CCH,"Cocina para niños 40x35x50(h)","38751,93","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
SAC,"Silla alta para comer","44896,425","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
MCHC,"Mesa cuadrada c/ pizarrón y cajón 60x60 x 46 (h)","37617,615","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
BAN,"Banco quincho",,"Muebles > Bancos y escaleras, Muebles"
MPCF,"Mesa pata curva FF",,"Muebles > Mesas y barras, Muebles, Muebles > Muebles recibidores"
ECCH,"Escritorio espejo corona 40x33x110 (h)","100677,675","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
BCH,"Banquito de pino para niños 30x30x30h","26026,665","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
MCHN,"Mesa de niños nordica de melamina 70x40x45 (h)","59802,435","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
SCHN,"Silla para niños nórdica de melamina 35x35x35 (h)","35679,945","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
SCH1,"Sillon de niño en pino 40x33x55 (h)","20386,905","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
MCH,"Mesita para chicos de Fibro Fácil 60x60x46 (h)","23671,725","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
MRCH,"Mesa para chicos redonda 60cm x 45 (h)","23671,725","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
BP,"Banco de plaza para niños 80x35x52h","44864,4","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
JA,"Juguetero apilable","27440,175","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
MO,"Mesa ratona ovalada 90cm x 60cm x 45cm (h)","80153,64","Muebles > Mesas ratonas, Muebles"
BBP,"Bandeja batea pino",,"TODO en accesorios para hogar > Bandejas y tablas, Especial SAN VALENTÍN♡, TODO en accesorios para hogar"
BBCMG,"Bandeja batea FF",,"TODO en accesorios para hogar > Bandejas y tablas, TODO en accesorios para hogar"
MRM60,"Mesa ratona redonda 60cm(ø) x 45cm(h)","80206,539","Muebles > Mesas ratonas, Muebles"
MCB,"Mesa ratona cubo 80cmx 40cmx 45cm(h)","83920,095","Muebles > Mesas ratonas, Muebles"
MCHCO,"Mesa pino 60cm(ø) x45cm(h)","59665,515","Muebles > Mesas ratonas, Muebles"
A303,"Atril de mesa profesional - 45cm x 55cm","19290,705","Artística, Artística > Productos para artistica"
A300,"Atril de pie grande - 60cm x 40cm x 190cm","42079,905","Artística, Artística > Productos para artistica"
A301,"Atril de pie mediano - 60cm x 35cm x 140cm","36648,36","Artística, Artística > Productos para artistica"
BMM,"Bajo mesada completo para niños - 113 x 35 x 50 (h).","79155,825","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
MLN,"Mesa nordica con un cajon 30x40x60h","71045,1","Muebles > Mesas de luz, Muebles"
BMCH,"Bajo mesada niño 50x35x60 (h)","55353,69","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
BAM,"Banco en pino y melamina 30x30x45 (h)","42707,91","Muebles > Bancos y escaleras > Banquetas, Muebles"
BFFF,"Baúl FF",,"TODO en accesorios para hogar > Baules, TODO en accesorios para hogar"
BE,"Banco escalera rebatible 40X30X65 (h)","86961,84",Muebles
BAN180,"Banco quincho - 180cm x 30cm x 50cm","98042,805",
BAN120,"Banco quincho - 120cm x 30cm x 50cm","83260,905",
BRP80,"Banco recibidor 80 x 30 x 50h","68896,695","Muebles > Bancos y escaleras, Muebles, Muebles > Muebles recibidores"
MPCF3080C,"Mesa pata curva FF - 30cm x 80cm","81809,49",
MPCF40100C,"Mesa pata curva FF - 40cm x 100cm","101185,77",
MPCF4080C,"Mesa pata curva FF - 40cm x 80cm","92574,195",
BBP2030,"Bandeja batea pino - 20cm x 30cm","5582,745",
BBP3030,"Bandeja batea pino - 30cm x 30cm","6871,095",
BBP2020,"Bandeja batea pino - 20cm x 20cm","4723,845",
BI,"Biblioteca alta FF",,"Muebles > Estanterías, Muebles"
BBG,"Bandeja batea FF - 20cm x 20cm","12574,8",
BBM,"Bandeja batea FF - 20cm x 35cm","10059,945",
BBC,"Bandeja batea FF - 14cm x 14cm","7544,88",
BAR,"Banqueta alta con respaldo 30 x 30 75 (h)","55975,185","Muebles > Bancos y escaleras > Banquetas, Muebles"
BA,"Banqueta alta recta 30 x 30 x 45 (h)","45848,145","Muebles > Bancos y escaleras > Banquetas, Muebles"
BAB,"Banqueta baja 20cm x 30cm x 40 (h)","32132,1","Muebles > Bancos y escaleras > Banquetas, Muebles"
BCHF,"Banquito FF 30 x 30 x 40 (h)","14953,785","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
BAV,"Banco vintage 30ø x 45 (h)","31403,82","Muebles > Bancos y escaleras > Banquetas, Muebles"
BP100,"Banco de plaza para niños 80x35x52h","79632,315",
BP60,"Banco de plaza para niños 80x35x52h","65048,97",
BP80,"Banco de plaza para niños 80x35x52h","70656,6",
MPLEW,"Mesa plegable chica 60x60",20223,"Muebles > Mesas y barras, Muebles"
MPLEWG,"Mesa plegable grande 60x 80x 55h","42747,2745","Muebles > Mesas y barras, Muebles"
MRV,"Mesa redonda varillada",,"Muebles > Mesas y barras, Muebles"
BI80,"Biblioteca alta FF - 80cm x 30cm x183h","145453,98",
BI70,"Biblioteca alta FF - 70cm x 30cm x 183h","132798,225",
BI60,"Biblioteca alta FF - 60cm x 30cm x 183h","120569,085",
BI50,"Biblioteca alta FF - 50cm x 30cm x 183h","108320,835",
BI40,"Biblioteca alta FF - 40cm x 30cm x 183h","96091,695",
BI30,"Biblioteca alta FF - 30cm x 30cm x 183h","84018,165",
BIMC,"Biblioteca Montessori simple - 50x25x40h","20937,21","TODO PARA INFANTILES > Juegos didácticos, Muebles, Muebles > Repisas"
BO18,"Bodega 18 botellas - 50x32x80h","87653,685","TODO en accesorios para hogar > Bodegas, TODO en accesorios para hogar"
MRP100,"Mesa recibidora 100x30x75h","84206,955","Muebles > Mesas y barras, Muebles, Muebles > Muebles recibidores"
BO9,"Bodega 9 botellas con porta copas - 40x32x76h","78216,075","TODO en accesorios para hogar > Bodegas, TODO en accesorios para hogar"
BO10,"Bodega barril 10 botellas - 35x30x68h","55570,725","TODO en accesorios para hogar > Bodegas, TODO en accesorios para hogar"
EJF,"Estante en J FF",,"Muebles, Muebles > Repisas"
P,"Perchero gancho recto",,"TODO en accesorios para hogar > Percheros, TODO en accesorios para hogar"
BD,"Bodega mesa 21 botellas - 100x30x76h","151577,265","TODO en accesorios para hogar > Bodegas, TODO en accesorios para hogar"
BOA,"Bodegas Apilable 3 botellas - 40x22x14h","10974,495","TODO en accesorios para hogar > Bodegas, TODO en accesorios para hogar"
MRV60,"Mesa redonda varillada - 35cm x 60cm","52285,8",
MRV80,"Mesa redonda varillada - 35cm x 80cm","57413,895",
CABE,"Caballete de pino 2x1 - 55x50x80h","25952,85","TODO en accesorios para hogar > Caballetes, TODO en accesorios para hogar"
CFJ,"Cajón juguetero - 60x40x41h","37683,45","TODO PARA INFANTILES > Muebles infantiles, TODO PARA INFANTILES"
CALEC,"Calesita souvenir","4920,825","Candy bar y LASER, TODO en accesorios para hogar"
CALEG,"Calesita grande - 20cm x 25cm (h)","12059,985","Candy bar y LASER, TODO en accesorios para hogar"
EJP,"Estante J pino",,"Muebles, Muebles > Repisas"
PERFE,"Perchero de feria plegable",,"TODO en accesorios para hogar > Percheros, TODO en accesorios para hogar"
PAR,"Parrilla para caballete 40x35","9639,63","TODO en accesorios para hogar > Caballetes, TODO en accesorios para hogar"
ESPHOCO,"Espejo Hollywood completo 60x30x60h","53368,455",Muebles
EJF80,"Estante en J FF - 80CM X 10CM X 7CM","7817,565",
EJF60,"Estante en J FF - 60CM X 10CM X 7CM","5863,2",
EJF40,"Estante en J FF - 40CM X 10CM X 7CM","3908,73",
